experiment_id,model_name,test_episodes,training_episodes,wins,detections,winrate,detection_rate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,avg_detected_steps,std_detected_steps,avg_max_steps_steps,std_max_steps_steps,current_epsilon,data_type,scenario,algorithm,timestamp
test_05000,Model_test_5000,250.0,5000,250,0,100.0,0.0,1000.0,0.0,24.0,0.0,24.0,0.0,,,,,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,34,0,13.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,37,0,14.8,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,30,0,12.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,117,0,46.8,0.0,1000.0,0.0,17.0,0.0,17.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,250,0,100.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,,,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,31,0,12.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,46,0,18.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,40,0,16.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,250,0,100.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,,,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,20,0,8.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,33,0,13.2,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,31,0,12.4,0.0,1000.0,0.0,41.0,0.0,41.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,166,0,66.4,0.0,1000.0,0.0,74.0,0.0,74.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,239,0,95.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,29,0,11.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,35,0,14.0,0.0,1000.0,0.0,33.0,0.0,33.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,26,0,10.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,151,0,60.4,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,235,0,94.0,0.0,1000.0,0.0,88.0,0.0,88.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_06000,Model_test_6000,250.0,6000,250,0,100.0,0.0,1000.0,0.0,7.0,0.0,7.0,0.0,,,,,0.30000000000000004,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,30,0,12.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,35,0,14.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,250,0,100.0,0.0,1000.0,0.0,33.0,0.0,33.0,0.0,,,,,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,22,0,8.8,0.0,1000.0,0.0,17.0,0.0,17.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,35,0,14.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,39,0,15.6,0.0,1000.0,0.0,47.0,0.0,47.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,193,0,77.2,0.0,1000.0,0.0,20.0,0.0,20.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,248,0,99.2,0.0,1000.0,0.0,6.0,0.0,6.0,0.0,,,0.0,0.0,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,20,0,8.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,39,0,15.6,0.0,1000.0,0.0,66.0,0.0,66.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,115,0,46.0,0.0,1000.0,0.0,31.0,0.0,31.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,246,0,98.4,0.0,1000.0,0.0,46.0,0.0,46.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_01000,Model_test_1000,250.0,1000,19,0,7.6,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.8,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_02000,Model_test_2000,250.0,2000,38,0,15.2,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,0.0,0.0,0.7000000000000001,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_03000,Model_test_3000,250.0,3000,43,0,17.2,0.0,1000.0,0.0,43.0,0.0,43.0,0.0,,,0.0,0.0,0.6,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_04000,Model_test_4000,250.0,4000,211,0,84.4,0.0,1000.0,0.0,16.0,0.0,16.0,0.0,,,0.0,0.0,0.5,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
test_05000,Model_test_5000,250.0,5000,250,0,100.0,0.0,-100.0,0.0,100.0,0.0,100.0,0.0,,,,,0.4,test_checkpoint,unknown,q_learning,2025-09-04_17-35-55
